"Signal","Type","DataType","Deprecated","Unit","Min","Max","Desc","Comment","Allowed","Id"
"Vehicle.AngularVelocity","branch","","","","","","Spatial rotation","","","1eef530a43de56aab665d2766483cde2"
"Vehicle.AngularVelocity.Roll","sensor","int16","","degrees/s","","","Vehicle rotation rate along X (longitudinal).","","","221e6b93881e5771bcbd03e0849e0075"
"Vehicle.AngularVelocity.Pitch","sensor","int16","","degrees/s","","","Vehicle rotation rate along Y (lateral).","","","42236f4a01f45313a97fdd9b6848ce4f"
"Vehicle.AngularVelocity.Yaw","sensor","int16","","degrees/s","","","Vehicle rotation rate along Z (vertical).","","","4114c41552565c1f9035670cabe2a611"
"Vehicle.RoofLoad","attribute","int16","","kg","","","The permitted total weight of cargo and installations (e.g. a roof rack) on top of the vehicle.","","","97dc98269a19591d9efa455a8d943c16"
"Vehicle.accelerationTime","attribute","int16","V2.1 removed as ambiguous definition (start/stop-speed not defined)","s","","","The time needed to accelerate the vehicle from a given start velocity to a given target velocity.","","","a0dfbb5fa9c052018addeb48d64d4c6a"
"Vehicle.cargoVolume","attribute","float","","l","0","","The available volume for cargo or luggage. For automobiles, this is usually the trunk volume.","","","1b7c5f7c8ac952168cd2e89b3e9cd841"
"Vehicle.emissionsCO2","attribute","int16","","g/km","","","The CO2 emissions.","","","5dc70045865b5bba9260945b28f737ff"
"Vehicle.CurrentOverallWeight","sensor","uint16","","kg","","","Current overall Vehicle weight. Including passengers, cargo and other load inside the car.","","","75599d7628bb5f35839055269d3ad205"
"Vehicle.CurbWeight","attribute","uint16","","kg","","","Vehicle curb weight, including all liquids and full tank of fuel, but no cargo or passengers.","","","69ac6ca079de59d19737f75e4c5c4342"
"Vehicle.GrossWeight","attribute","uint16","","kg","","","Curb weight of vehicle, including all liquids and full tank of fuel and full load of cargo and passengers.","","","9671cb551dd8570fbe5d7cd797265e6a"
"Vehicle.MaxTowWeight","attribute","uint16","","kg","","","Maximum weight of trailer.","","","a1b8fd65897654aa8a418bccf443f1f3"
"Vehicle.MaxTowBallWeight","attribute","uint16","","kg","","","Maximum vertical weight on the tow ball of a trailer.","","","fec550f2064750e8b65b54fbf1368d68"
"Vehicle.Length","attribute","uint16","","mm","","","Overall vehicle length.","","","885f1be6842a513582e52a42edb3176f"
"Vehicle.Height","attribute","uint16","","mm","","","Overall vehicle height.","","","9784d39f68b8541f90c355178ded7d7c"
"Vehicle.Width","attribute","uint16","","mm","","","Overall vehicle width.","","","b4aabe144e3259adb1459a2e25fec9bd"
"Vehicle.Trailer","branch","","","","","","Trailer signals","","","66206ee5c25a5817bef214c0c8ae8013"
"Vehicle.Trailer.Connected","sensor","boolean","","","","","Signal indicating if trailer is connected or not.","","","4da109044a185685a29190dd71838df5"
"Vehicle.CurrentLocation","branch","","","","","","The current latitude and longitude of the vehicle.","","","24777bd485f15fb69550ae0520c40ad5"
"Vehicle.CurrentLocation.Latitude","sensor","double","","degrees","-90","90","Current latitude of vehicle.","","","08933c5a445055df80bea15fbfa07f1c"
"Vehicle.CurrentLocation.Longitude","sensor","double","","degrees","-180","180","Current longitude of vehicle.","","","5246f2ec5fea550cb1b36f110854cfbb"
"Vehicle.CurrentLocation.Heading","sensor","double","","degrees","0","360","Current magnetic compass heading.","","","2a8f0afa2b315943aa001278875ce012"
"Vehicle.CurrentLocation.Accuracy","sensor","double","","m","","","Accuracy level of the latitude and longitude coordinates.","","","c6135205a21753e49b45614d562a89b7"
"Vehicle.CurrentLocation.Altitude","sensor","double","","m","","","Current elevation of the position.","","","d3ead98ab0b751c1a5b5dd5bc0e5e216"
"Vehicle.Private","branch","","","","","","Uncontrolled branch where non-public signals can be defined.","","","4161866b048a5b76aa3124dec82e0260"
"Vehicle.Powertrain","branch","","","","","","Powertrain data for battery management, etc.","","","12f35ec7bd1c58d1a329565ce3d053d5"
"Vehicle.Powertrain.AccumulatedBrakingEnergy","sensor","float","","kWh","","","The accumulated energy from regenerative braking over lifetime.","","","0dd466d28d3d5ad094f2015adafb91a5"
"Vehicle.Powertrain.Range","sensor","uint32","","m","","","Remaining range in meters using all energy sources available in the vehicle.","","","ea4b6de772d65d20b1fa611f997aa7b8"
"Vehicle.Powertrain.CombustionEngine","branch","","","","","","Engine-specific data, stopping at the bell housing.","","","159e2e3e75f0590f95b4d2f6cfae54b5"
"Vehicle.Powertrain.CombustionEngine.Displacement","attribute","uint16","","cm^3","","","Displacement in cubic centimetres.","","","94dbd928847150ab842c00fa5caaf272"
"Vehicle.Powertrain.CombustionEngine.StrokeLength","attribute","float","","mm","","","Stroke length in millimetres.","","","1bdfdab7904d51ed93e101b84ea54ddf"
"Vehicle.Powertrain.CombustionEngine.Bore","attribute","float","","mm","","","Bore in millimetres.","","","1618fb16035b5464961570cc1afd934e"
"Vehicle.Powertrain.CombustionEngine.Configuration","attribute","string","","","","","Engine configuration.","","","586be4567fe059ee9e6cf42901c2e773"
"Vehicle.Powertrain.CombustionEngine.NumberOfCylinders","attribute","uint16","","","","","Number of cylinders.","","","b2cd342c218257e88d214cdb511df82b"
"Vehicle.Powertrain.CombustionEngine.NumberOfValvesPerCylinder","attribute","uint16","","","","","Number of valves per cylinder.","","","44633204726e561ca21beff31f3fef80"
"Vehicle.Powertrain.CombustionEngine.CompressionRatio","attribute","string","","","","","Engine compression ratio.","","","ead42922511051a0a0a1b634781f3c09"
"Vehicle.Powertrain.CombustionEngine.EngineOilLevel","attribute","string","","","","","Vehicle oil level.","","","e3813f59e94b509eb865fd97255a8a4f"
"Vehicle.Powertrain.CombustionEngine.OilLifeRemaining","sensor","int32","","s","","","Remaining engine oil life in seconds. Negative values can be used to indicate that lifetime has been exceeded.","","","94303734c68c5353a02625f652103918"
"Vehicle.Powertrain.CombustionEngine.EngineOilCapacity","attribute","float","","l","","","Engine oil capacity in liters.","","","2ca7af6facb55a13885989faa9bc6ca7"
"Vehicle.Powertrain.CombustionEngine.EngineCoolantCapacity","attribute","float","","l","","","Engine coolant capacity in liters.","","","90b5b64808ea5f4fa2798d96143b0d60"
"Vehicle.Powertrain.CombustionEngine.MaxPower","attribute","uint16","","kW","","","Peak power, in kilowatts, that engine can generate.","","","81fbdd5e90f557a38b96578a38dc137d"
"Vehicle.Powertrain.CombustionEngine.MaxTorque","attribute","uint16","","Nm","","","Peak power, in newton meter, that the engine can generate.","","","471cd478c1e8597f8e97c85b4e4ebe26"
"Vehicle.Powertrain.CombustionEngine.AspirationType","attribute","string","","","","","Type of aspiration (natural, turbocharger, supercharger etc).","","","3ca6a8ff30275c20a9d8d6d6829574eb"
"Vehicle.Powertrain.CombustionEngine.FuelType","attribute","string","","","","","Type of fuel that the engine runs on.","","","d0f8c79131c850bab8159eaefc7e23e5"
"Vehicle.Powertrain.CombustionEngine.Engine","branch","","","","","","Engine signals","","","96a96cd4f18b519eb4b00566b4e6308f"
"Vehicle.Powertrain.CombustionEngine.Engine.Speed","sensor","uint16","","rpm","0","20000","Engine speed measured as rotations per minute.","","","c145005246125d1eb6531052f46eec94"
"Vehicle.Powertrain.CombustionEngine.Engine.ECT","sensor","int16","","celsius","-50","200","Engine coolant temperature.","","","de032ac3cc2858f2a1ef0a4b6f945098"
"Vehicle.Powertrain.CombustionEngine.Engine.EOT","sensor","int16","","celsius","-50","300","Engine oil temperature.","","","7fcbd0abd829530ca022e69a224f1845"
"Vehicle.Powertrain.CombustionEngine.Engine.MAP","sensor","int16","","kPa","0","1000","Manifold air pressure possibly boosted using forced induction.","","","6269b87f545f5466a0c5ba13432810da"
"Vehicle.Powertrain.CombustionEngine.Engine.MAF","sensor","int16","","g/s","0","3000","Grams of air drawn into engine per second.","","","944823218c565afa86adc3ebdf8b77c5"
"Vehicle.Powertrain.CombustionEngine.Engine.TPS","sensor","int8","","percent","0","100","Current throttle position.","","","5ab79d75e2af52dda3d61f3a2bf41462"
"Vehicle.Powertrain.CombustionEngine.Engine.EOP","sensor","int16","","kPa","0","1000","Engine oil pressure.","","","054dacf5e59a5688981834690c5d449e"
"Vehicle.Powertrain.CombustionEngine.Engine.Power","sensor","int16","","kW","0","2000","Current engine power output.","","","6de515320e3257c7842923c88d11a09f"
"Vehicle.Powertrain.CombustionEngine.Engine.Torque","sensor","int16","","Nm","0","3000","Current engine torque.","","","b0295cd26bfc586ca3a42f9296a26ceb"
"Vehicle.Powertrain.CombustionEngine.DieselParticulateFilter","branch","","","","","","Diesel Particulate Filter signals","","","eeddd99ad6475b1a92b9ec7bd7cefdbd"
"Vehicle.Powertrain.CombustionEngine.DieselParticulateFilter.InletTemperature","sensor","float","","celsius","","","Inlet temperature of Diesel Particulate Filter.","","","70e90d202d3054bd967e67dce95c8ef2"
"Vehicle.Powertrain.CombustionEngine.DieselParticulateFilter.OutletTemperature","sensor","float","","celsius","","","Outlet temperature of Diesel Particulate Filter.","","","e2b7f9d97bec5c0d94ade71a5e2f6518"
"Vehicle.Powertrain.CombustionEngine.DieselParticulateFilter.DeltaPressure","sensor","float","","Pa","","","Delta Pressure of Diesel Particulate Filter.","","","a6f476775c60531b93acb835e0bc6ab6"
"Vehicle.Powertrain.Transmission","branch","","","","","","Transmission-specific data, stopping at the drive shafts.","","","6b71e284b63a527caa6296a66e9fdd0c"
"Vehicle.Powertrain.Transmission.Type","attribute","string","","","","","Transmission type.","","","f83b9e5464d85a0288fcb32c164d3c63"
"Vehicle.Powertrain.Transmission.GearCount","attribute","uint8","","","","","Number of forward gears in the transmission. -1 = CVT.","","","84293f40d3ed57f1a08992d97b1a9ccd"
"Vehicle.Powertrain.Transmission.DriveType","attribute","string","","","","","Drive type.","","","0e480b76fb2d5f8bb08fb586f90ee6ae"
"Vehicle.Powertrain.Transmission.Speed","sensor","int32","V2.1 removed because doubled with Vehicle.Speed","km/h","-250","250","Vehicle speed, as sensed by the gearbox.","","","080c5c7a7a8f512a858f84cd678d09cb"
"Vehicle.Powertrain.Transmission.TravelledDistance","sensor","float","","km","","","Odometer reading, total distance travelled during the lifetime of the transmission.","","","b9dd66f20c7f5b12a046766b94dc20c1"
"Vehicle.Powertrain.Transmission.Gear","actuator","int8","V2.2 replaced by CurrentGear and SelectedGear","","-1","16","Current gear. 0=Neutral. -1=Reverse","","","d72df16818e75f71b9fffdff8250e9b9"
"Vehicle.Powertrain.Transmission.CurrentGear","sensor","int8","","","","","The current gear. 0=Neutral, 1/2/..=Forward, -1/..=Reverse","","","cd0ba1d772565e16bff46cbd5c9361da"
"Vehicle.Powertrain.Transmission.SelectedGear","actuator","int8","","","","","The selected gear. 0=Neutral, 1/2/..=Forward, -1/..=Reverse, 126=Park, 127=Drive","","","490fd99b9d5f562eb180c19e8cef5e12"
"Vehicle.Powertrain.Transmission.PerformanceMode","actuator","string","","","","","Current gearbox performance mode.","","","6b5cfd85cb595e559503ccf993be04dd"
"Vehicle.Powertrain.Transmission.GearChangeMode","actuator","string","","","","","Is the gearbox in automatic or manual (paddle) mode.","","","ff3c69378c2f598286e51f7dac13adaa"
"Vehicle.Powertrain.Transmission.Temperature","sensor","int16","","celsius","-50","200","The current gearbox temperature","","","4f5e48c3511b5e1abff11aa7ec62dd18"
"Vehicle.Powertrain.Transmission.ClutchWear","sensor","uint8","","percent","","","Clutch wear as a percent. 0 = no wear. 100 = worn.","","","c113405ad165571a9d53ae4cf55dc929"
"Vehicle.Powertrain.ElectricMotor","branch","","","","","","Electric Motor specific data.","","","1ade64f6b0d05f6c9340e7a667555ae2"
"Vehicle.Powertrain.ElectricMotor.MaxPower","attribute","uint16","","kW","","","Peak power, in kilowatts, that motor(s) can generate.","","","825ec7911ee958abb199b9f7903df3a6"
"Vehicle.Powertrain.ElectricMotor.MaxTorque","attribute","uint16","","Nm","","","Peak power, in newton meter, that the motor(s) can generate.","","","cf31eabcde5151f589e9b0f7a6090512"
"Vehicle.Powertrain.ElectricMotor.MaxRegenPower","attribute","uint16","","kW","","","Peak regen/brake power, in kilowatts, that motor(s) can generate.","","","7f2cb2650ba95485b7156ffe76e27366"
"Vehicle.Powertrain.ElectricMotor.MaxRegenTorque","attribute","uint16","","Nm","","","Peak regen/brake torque, in newton meter, that the motor(s) can generate.","","","0e5190c2517b55aa80fcb9bf698e02d6"
"Vehicle.Powertrain.ElectricMotor.Motor","branch","","","","","","motor signals","","","af1521cbe56b599fa9fff8c6171e645c"
"Vehicle.Powertrain.ElectricMotor.Motor.Rpm","sensor","int32","","rpm","-100000","100000","Motor rotational speed measured as rotations per minute. Negative values indicate reverse driving mode.","","","96259c99dc105266bbe7aba70e16f1ef"
"Vehicle.Powertrain.ElectricMotor.Motor.Temperature","sensor","int16","","celsius","-50","200","Motor temperature.","","","6ae826db62d552c5b9fe2701f5655455"
"Vehicle.Powertrain.ElectricMotor.Motor.CoolantTemperature","sensor","int16","","celsius","-50","200","Motor coolant temperature (if applicable).","","","ff978ffe8e615fada4b6423d5ba25e25"
"Vehicle.Powertrain.ElectricMotor.Motor.Power","sensor","int16","","kW","-2000","2000","Current motor power output. Negative values indicate regen mode.","","","630a478781b95ad8b012ce52f745f3e8"
"Vehicle.Powertrain.ElectricMotor.Motor.Torque","sensor","int16","","Nm","-5000","5000","Current motor torque. Negative values indicate regen mode.","","","0d07c1c502a1557a91b4ed564e024a19"
"Vehicle.Powertrain.Battery","branch","","","","","","Battery Management data.","","","3e92d75e0cbc5765a459308f71873ae0"
"Vehicle.Powertrain.Battery.PowerConnected","sensor","boolean","","","","","Indicating if the power (positive terminator) of the traction battery is connected to the powertrain.","","","ed491318bbf05d96a6e69e371c1697f0"
"Vehicle.Powertrain.Battery.GroundConnected","sensor","boolean","","","","","Indicating if the ground (negative terminator) of the traction battery is connected to the powertrain.","","","6a98571fda81562ab895e22ff7afc5d0"
"Vehicle.Powertrain.Battery.Temperature","sensor","float","","celsius","","","Temperature of the battery pack","","","2b9d90f1d87c57dcbbd6a72807f8d412"
"Vehicle.Powertrain.Battery.StateOfCharge","branch","","","","","","Information on the state of charge of the vehicle's high voltage battery.","","","74249091cd7653078b6c1e87ac6fbe5b"
"Vehicle.Powertrain.Battery.StateOfCharge.Current","sensor","float","","percent","0","100.0","Physical state of charge of the high voltage battery. This is not necessarily the state of charge being displayed to the customer.","","","e0628947864a5c14986b2ae1487f550f"
"Vehicle.Powertrain.Battery.StateOfCharge.Displayed","sensor","float","","percent","0","100.0","State of charge displayed to the customer.","","","13190cf240665e4db38780ad39051784"
"Vehicle.Powertrain.Battery.StateOfCharge.Target","actuator","uint8","","percent","0","100","Target state of charge set (eg. by customer).","","","864039c9295a50f9b7087e3fa8c5ce28"
"Vehicle.Powertrain.Battery.GrossCapacity","attribute","uint16","","kWh","","","Gross capacity of the battery","","","7b5402cc647454b49ee019e8689d3737"
"Vehicle.Powertrain.Battery.NetCapacity","attribute","uint16","","kWh","","","Net capacity of the battery","","","7b037dd1cab553b18a87456a3d764714"
"Vehicle.Powertrain.Battery.NominalVoltage","attribute","uint16","","V","","","Nominal Voltage of the battery","","","77d38e4890ea55cca3798616968384ed"
"Vehicle.Powertrain.Battery.ReferentVoltage","attribute","uint16","","V","","","Referent Voltage of the battery","","","bceafc8cc7a852319d5e453312cf6949"
"Vehicle.Powertrain.Battery.AccumulatedChargedEnergy","sensor","float","","kWh","","","The accumulated energy delivered to the battery during charging over lifetime.","","","d2abf26b03f5519d878a7f4b5891519b"
"Vehicle.Powertrain.Battery.AccumulatedConsumedEnergy","sensor","float","","kWh","","","The accumulated energy leaving HV battery for propulsion and auxiliary loads over lifetime.","","","c96530e0b22c56779cea2645823e87be"
"Vehicle.Powertrain.Battery.Range","sensor","uint32","","m","","","Remaining range in meters using only battery.","","","d74254f25bd85a469d2adbec79472071"
"Vehicle.Powertrain.Battery.Charging","branch","","","","","","Properties related to battery charging","","","14b2e022987d5cf383ee6ea0c6919195"
"Vehicle.Powertrain.Battery.Charging.ChargeLimit","actuator","uint8","","percent","0","100","Maximum charge level for battery, can potentially be set manually.","","","6a44522726625d42b0fbdf3f36fb1c87"
"Vehicle.Powertrain.Battery.Charging.MaximumChargingCurrent","sensor","float","","A","","","Maximum charging current that can be accepted by the system.","","","36e8aee0ff4c52f5af271ef610523e88"
"Vehicle.Powertrain.Battery.Charging.ChargePortFlap","actuator","string","","","","","Signal indicating if charge port cover is open or closed, can potentially be controlled manually.","","","528e53ad98c1546b90bb48f24f04815a"
"Vehicle.Powertrain.Battery.Charging.ChargePlugStatus","sensor","boolean","","","","","Signal indicating if charge plug is connected or not.","","","9be742dcbf2f526bb67b538fd801edc3"
"Vehicle.Powertrain.Battery.Charging.ChargePlugType","attribute","string","","","","","Type of charge plug available on the vehicle (CSS includes Type2).","","","0c4cf2b3979456928967e73b646bda05"
"Vehicle.Powertrain.Battery.Charging.Mode","actuator","string","","","","","Control of the charge process - manually initiated (plug-in event, companion app, etc), timer-based or grid-controlled (eg ISO 15118).","","","d50906b9d2525e8581fc01f900c1c096"
"Vehicle.Powertrain.Battery.Charging.Status","sensor","boolean","","","","","State of charging process.","","","b772427703c05e7ba81b11424be20540"
"Vehicle.Powertrain.Battery.Charging.StartStopCharging","actuator","string","","","","","Start or stop the charging process.","","","e754c34897b4594587b93d8e7e89e280"
"Vehicle.Powertrain.Battery.Charging.ChargeCurrent","sensor","float","","A","","","Current charging current.","","","a98b14e0d52d51a09d74c85d599738ea"
"Vehicle.Powertrain.Battery.Charging.ChargeVoltage","sensor","float","","V","","","Current charging voltage.","","","1be74bd9d81d510b9d65cc1f83cb904e"
"Vehicle.Powertrain.Battery.Charging.ChargeRate","sensor","float","","km/h","","","Current charging rate, as in kilometers of range added per hour.","","","382fa50af6a25d64b56979e1306f564e"
"Vehicle.Powertrain.Battery.Charging.TimeToComplete","sensor","uint32","","s","","","The time needed to complete the current charging process to the set charge limit. 0 if charging is complete, negative number if no charging process is active.","","","519e70bc8a985e1b984c472a1cd7d3cf"
"Vehicle.Powertrain.Battery.Charging.Timer","branch","","","","","","Properties related to timing of battery charging sessions.","","","4d632fd461e550b4b3af46e21e507457"
"Vehicle.Powertrain.Battery.Charging.Timer.Time","actuator","uint32","","s","","","Time value for next charging-related action (Unix timestamp, seconds).","","","d9cb0f458c255c33830409a3e313f781"
"Vehicle.Powertrain.Battery.Charging.Timer.Mode","actuator","string","","","","","Defines whether Timer.Time is defining start- or endtime of a charging action; departuretime denotes that target time should be taken from vehicle-level desired departure-time setting.","","","af3d94c767aa5cb483d2361289c72abc"
"Vehicle.Powertrain.FuelSystem","branch","","","","","","Fuel system data.","","","dbc194a7f97d5a56bc8942c17c2db22e"
"Vehicle.Powertrain.FuelSystem.FuelType","attribute","string","","","","","Defines the fuel type of the vehicle","","","76442e696df5540b8b747373b29895d9"
"Vehicle.Powertrain.FuelSystem.HybridType","attribute","string","","","","","Defines the hybrid type of the vehicle","","","f0f72012f5e453c1935ff8c3a5aff696"
"Vehicle.Powertrain.FuelSystem.TankCapacity","attribute","float","","l","","","Capacity of the fuel tank in liters","","","362643b866c55d5386fdbdf383464e90"
"Vehicle.Powertrain.FuelSystem.Level","sensor","uint8","","percent","0","100","Level in fuel tank as percent of capacity. 0 = empty. 100 = full.","","","902bd295a662573088291e8b6a6b7943"
"Vehicle.Powertrain.FuelSystem.Range","sensor","uint32","","m","","","Remaining range in meters using only liquid fuel.","","","c5a0dbe5e754553897f0aed0069af57a"
"Vehicle.Powertrain.FuelSystem.InstantConsumption","sensor","float","","l/100km","0","","Current consumption in liters per 100 km.","","","cf65767ec8ad56ffadfdccd831e4b562"
"Vehicle.Powertrain.FuelSystem.AverageConsumption","sensor","float","","l/100km","0","","Average consumption in liters per 100 km.","","","e2252108125a54dcab34e1bad0fe8bdc"
"Vehicle.Powertrain.FuelSystem.ConsumptionSinceStart","sensor","float","","l","","","Fuel amount in liters consumed since start of current trip.","","","adf0a40964ff556f92b10275ad918883"
"Vehicle.Powertrain.FuelSystem.TimeSinceStart","sensor","uint32","","s","","","Time in seconds elapsed since start of current trip.","","","1a8dbc5107b3522fad852e63aa85aef9"
"Vehicle.Powertrain.FuelSystem.EngineStopStartEnabled","sensor","boolean","","","","","Indicates whether eco start stop is currently enabled","","","901f8977c24855fd95aa8e4cf166d3e9"
"Vehicle.Powertrain.FuelSystem.LowFuelLevel","sensor","boolean","","","","","Indicates that the fuel level is low (e.g. <50km range)","","","7f5fd2d9ca465d80af8e4bc0f8901b3b"
"Vehicle.Body","branch","","","","","","All body components.","","","bd2854e6a9165c5698ce8dd9f0438ecc"
"Vehicle.Body.BodyType","attribute","string","","","","","Body type code as defined by ISO 3779","","","6253412513105deea63b1d424117fd88"
"Vehicle.Body.RefuelPosition","attribute","string","","","","","Location of the fuel cap or charge port","","","53ef90a851fa57f0810d50238e852f02"
"Vehicle.Body.Hood","branch","","","","","","Hood status","","","84510652bf915bbe8bf5f477aab2b44a"
"Vehicle.Body.Hood.IsOpen","actuator","boolean","","","","","hood open or closed. True = Open. False = Closed","","","890aa3359e1a579288af1cf8e6b5b71f"
"Vehicle.Body.Trunk","branch","","","","","","Trunk status","","","a584c6a5aa235cb88ac686f8d72a1dff"
"Vehicle.Body.Trunk.IsOpen","actuator","boolean","","","","","Trunk open or closed. True = Open. False = Closed","","","58c8eb023b4b5db794705d7ce63e2d75"
"Vehicle.Body.Trunk.IsLocked","actuator","boolean","","","","","Is trunk locked or unlocked. True = Locked. False = Unlocked.","","","d89db9a83c0955c3a049c529072d397f"
"Vehicle.Body.Horn","branch","","","","","","Horn signals","","","09c76633887f52268b960740eb969c89"
