"Signal","Type","DataType","Deprecated","Unit","Min","Max","Desc","Comment","Allowed","Id"
"Vehicle.AngularVelocity.Pitch","sensor","float","","degrees/s","","","Vehicle rotation rate along Y (lateral).","","","42236f4a01f45313a97fdd9b6848ce4f"
"Vehicle.AngularVelocity.Yaw","sensor","float","","degrees/s","","","Vehicle rotation rate along Z (vertical).","","","4114c41552565c1f9035670cabe2a611"
"Vehicle.RoofLoad","attribute","int16","","kg","","","The permitted total weight of cargo and installations (e.g. a roof rack) on top of the vehicle.","","","97dc98269a19591d9efa455a8d943c16"
"Vehicle.CargoVolume","attribute","float","","l","0","","The available volume for cargo or luggage. For automobiles, this is usually the trunk volume.","","","789feabca2e8560ea3c1852371b4096e"
"Vehicle.EmissionsCO2","attribute","int16","","g/km","","","The CO2 emissions.","","","b73e8f1ed17d584fad3f088c666dc2a5"
"Vehicle.CurrentOverallWeight","sensor","uint16","","kg","","","Current overall Vehicle weight. Including passengers, cargo and other load inside the car.","","","75599d7628bb5f35839055269d3ad205"
"Vehicle.CurbWeight","attribute","uint16","","kg","","","Vehicle curb weight, including all liquids and full tank of fuel, but no cargo or passengers.","","","69ac6ca079de59d19737f75e4c5c4342"
"Vehicle.GrossWeight","attribute","uint16","","kg","","","Curb weight of vehicle, including all liquids and full tank of fuel and full load of cargo and passengers.","","","9671cb551dd8570fbe5d7cd797265e6a"
"Vehicle.MaxTowWeight","attribute","uint16","","kg","","","Maximum weight of trailer.","","","a1b8fd65897654aa8a418bccf443f1f3"
"Vehicle.MaxTowBallWeight","attribute","uint16","","kg","","","Maximum vertical weight on the tow ball of a trailer.","","","fec550f2064750e8b65b54fbf1368d68"
"Vehicle.Length","attribute","uint16","","mm","","","Overall vehicle length.","","","885f1be6842a513582e52a42edb3176f"
"Vehicle.Height","attribute","uint16","","mm","","","Overall vehicle height.","","","9784d39f68b8541f90c355178ded7d7c"
"Vehicle.Width","attribute","uint16","","mm","","","Overall vehicle width.","","","b4aabe144e3259adb1459a2e25fec9bd"
"Vehicle.Trailer","branch","","","","","","Trailer signals.","","","66206ee5c25a5817bef214c0c8ae8013"
"Vehicle.Trailer.IsConnected","sensor","boolean","","","","","Signal indicating if trailer is connected or not.","","","77f28ed03c125ac9a19d22e9436b0ec4"
"Vehicle.CurrentLocation","branch","","","","","","The current latitude and longitude of the vehicle.","","","24777bd485f15fb69550ae0520c40ad5"
"Vehicle.CurrentLocation.Timestamp","sensor","string","","","","","Timestamp from GNSS system for current location, formatted according to ISO 8601 with UTC time zone.","","","094aeff73be05c08905690be0e82a438"
"Vehicle.CurrentLocation.Latitude","sensor","double","","degrees","-90","90","Current latitude of vehicle in WGS 84 geodetic coordinates, as measured at the position of GNSS receiver antenna.","","","08933c5a445055df80bea15fbfa07f1c"
"Vehicle.CurrentLocation.Longitude","sensor","double","","degrees","-180","180","Current longitude of vehicle in WGS 84 geodetic coordinates, as measured at the position of GNSS receiver antenna.","","","5246f2ec5fea550cb1b36f110854cfbb"
"Vehicle.CurrentLocation.Heading","sensor","double","","degrees","0","360","Current heading relative to geographic north. 0 = North, 90 = East, 180 = South, 270 = West.","","","2a8f0afa2b315943aa001278875ce012"
"Vehicle.CurrentLocation.HorizontalAccuracy","sensor","double","","m","","","Accuracy of the latitude and longitude coordinates.","","","bf25ef243f0c5f839f7ef874f9c57fda"
"Vehicle.CurrentLocation.Altitude","sensor","double","","m","","","Current altitude relative to WGS 84 reference ellipsoid, as measured at the position of GNSS receiver antenna.","","","d3ead98ab0b751c1a5b5dd5bc0e5e216"
"Vehicle.CurrentLocation.VerticalAccuracy","sensor","double","","m","","","Accuracy of altitude.","","","8f54055bce9e5e8e97fb6051582707ab"
"Vehicle.CurrentLocation.GNSSReceiver","branch","","","","","","Information on the GNSS receiver used for determining current location.","","","b1bea5d88662539a8cff6f8fe4974740"
"Vehicle.CurrentLocation.GNSSReceiver.FixType","sensor","string","","","","","Fix status of GNSS receiver.","","['NONE', 'TWO_D', 'TWO_D_SATELLITE_BASED_AUGMENTATION', 'TWO_D_GROUND_BASED_AUGMENTATION', 'TWO_D_SATELLITE_AND_GROUND_BASED_AUGMENTATION', 'THREE_D', 'THREE_D_SATELLITE_BASED_AUGMENTATION', 'THREE_D_GROUND_BASED_AUGMENTATION', 'THREE_D_SATELLITE_AND_GROUND_BASED_AUGMENTATION']","52853b33d4605608bd0ae50595c69309"
"Vehicle.CurrentLocation.GNSSReceiver.MountingPosition","branch","","","","","","Mounting position of GNSS receiver antenna relative to vehicle coordinate system. Axis definitions according to ISO 8855. Origin at center of (first) rear axle.","","","5c0887bce6fb5eb79402baaccb203e61"
"Vehicle.CurrentLocation.GNSSReceiver.MountingPosition.X","attribute","int16","","mm","","","Mounting position of GNSS receiver antenna relative to vehicle coordinate system. Axis definitions according to ISO 8855. Origin at center of (first) rear axle. Positive values = forward of rear axle. Negative values = backward of rear axle.","","","f23d40f3556b5676a0d1e3def037197f"
"Vehicle.CurrentLocation.GNSSReceiver.MountingPosition.Y","attribute","int16","","mm","","","Mounting position of GNSS receiver antenna relative to vehicle coordinate system. Axis definitions according to ISO 8855. Origin at center of (first) rear axle. Positive values = left of origin. Negative values = right of origin. Left/Right is as seen from driver perspective, i.e. by a person looking forward.","","","16745ae827c0527ea2c48c20f0c146f1"
"Vehicle.CurrentLocation.GNSSReceiver.MountingPosition.Z","attribute","int16","","mm","","","Mounting position of GNSS receiver on Z-axis. Axis definitions according to ISO 8855. Origin at center of (first) rear axle. Positive values = above center of rear axle. Negative values = below center of rear axle.","","","a4d04e86518e5c5ab60e5e4face35756"
"Vehicle.Powertrain","branch","","","","","","Powertrain data for battery management, etc.","","","12f35ec7bd1c58d1a329565ce3d053d5"
"Vehicle.Powertrain.AccumulatedBrakingEnergy","sensor","float","","kWh","","","The accumulated energy from regenerative braking over lifetime.","","","0dd466d28d3d5ad094f2015adafb91a5"
"Vehicle.Powertrain.Range","sensor","uint32","","m","","","Remaining range in meters using all energy sources available in the vehicle.","","","ea4b6de772d65d20b1fa611f997aa7b8"
"Vehicle.Powertrain.Type","attribute","string","","","","","Defines the powertrain type of the vehicle.","For vehicles with a combustion engine (including hybrids) more detailed information on fuels supported can be found in FuelSystem.SupportedFuelTypes and FuelSystem.SupportedFuels.","['COMBUSTION', 'HYBRID', 'ELECTRIC']","2a000da4204658a4a6e3ecd5176bdfba"
"Vehicle.Powertrain.CombustionEngine","branch","","","","","","Engine-specific data, stopping at the bell housing.","","","159e2e3e75f0590f95b4d2f6cfae54b5"
"Vehicle.Powertrain.CombustionEngine.EngineCode","attribute","string","","","","","Engine code designation, as specified by vehicle manufacturer.","For hybrid vehicles the engine code may refer to the combination of combustion and electric engine.","","4ec845911b8e5b64b2cb1d34063184de"
"Vehicle.Powertrain.CombustionEngine.Displacement","attribute","uint16","","cm^3","","","Displacement in cubic centimetres.","","","94dbd928847150ab842c00fa5caaf272"
"Vehicle.Powertrain.CombustionEngine.StrokeLength","attribute","float","","mm","","","Stroke length in millimetres.","","","1bdfdab7904d51ed93e101b84ea54ddf"
"Vehicle.Powertrain.CombustionEngine.Bore","attribute","float","","mm","","","Bore in millimetres.","","","1618fb16035b5464961570cc1afd934e"
"Vehicle.Powertrain.CombustionEngine.Configuration","attribute","string","","","","","Engine configuration.","","['UNKNOWN', 'STRAIGHT', 'V', 'BOXER', 'W', 'ROTARY', 'RADIAL', 'SQUARE', 'H', 'U', 'OPPOSED', 'X']","586be4567fe059ee9e6cf42901c2e773"
"Vehicle.Powertrain.CombustionEngine.NumberOfCylinders","attribute","uint16","","","","","Number of cylinders.","","","b2cd342c218257e88d214cdb511df82b"
"Vehicle.Powertrain.CombustionEngine.NumberOfValvesPerCylinder","attribute","uint16","","","","","Number of valves per cylinder.","","","44633204726e561ca21beff31f3fef80"
"Vehicle.Powertrain.CombustionEngine.CompressionRatio","attribute","string","","","","","Engine compression ratio, specified in the format 'X:1', e.g. '9.2:1'.","","","ead42922511051a0a0a1b634781f3c09"
"Vehicle.Powertrain.CombustionEngine.EngineOilCapacity","attribute","float","","l","","","Engine oil capacity in liters.","","","2ca7af6facb55a13885989faa9bc6ca7"
"Vehicle.Powertrain.CombustionEngine.EngineCoolantCapacity","attribute","float","","l","","","Engine coolant capacity in liters.","","","90b5b64808ea5f4fa2798d96143b0d60"
"Vehicle.Powertrain.CombustionEngine.MaxPower","attribute","uint16","","kW","","","Peak power, in kilowatts, that engine can generate.","","","81fbdd5e90f557a38b96578a38dc137d"
"Vehicle.Powertrain.CombustionEngine.MaxTorque","attribute","uint16","","Nm","","","Peak torque, in newton meter, that the engine can generate.","","","471cd478c1e8597f8e97c85b4e4ebe26"
"Vehicle.Powertrain.CombustionEngine.AspirationType","attribute","string","","","","","Type of aspiration (natural, turbocharger, supercharger etc).","","['UNKNOWN', 'NATURAL', 'SUPERCHARGER', 'TURBOCHARGER']","3ca6a8ff30275c20a9d8d6d6829574eb"
"Vehicle.Powertrain.CombustionEngine.EngineOilLevel","sensor","string","","","","","Engine oil level.","","['CRITICALLY_LOW', 'LOW', 'NORMAL', 'HIGH', 'CRITICALLY_HIGH']","e3813f59e94b509eb865fd97255a8a4f"
"Vehicle.Powertrain.CombustionEngine.OilLifeRemaining","sensor","int32","","s","","","Remaining engine oil life in seconds. Negative values can be used to indicate that lifetime has been exceeded.","In addition to this a signal a vehicle can report remaining time to service (including e.g. oil change) by Vehicle.Service.TimeToService.","","94303734c68c5353a02625f652103918"
"Vehicle.Powertrain.CombustionEngine.IsRunning","sensor","boolean","","","","","Engine Running. True if engine is rotating (Speed > 0).","","","57652c27679757398c44d56af7a044d3"
"Vehicle.Powertrain.CombustionEngine.Speed","sensor","uint16","","rpm","","","Engine speed measured as rotations per minute.","","","557ce24c5a4d51cc825059c948ac9e29"
"Vehicle.Powertrain.CombustionEngine.EngineHours","sensor","float","","h","","","Accumulated time during engine lifetime with 'engine speed (rpm) > 0'.","","","a23a62e24f58514d961890f53262e4e0"
"Vehicle.Powertrain.CombustionEngine.IdleHours","sensor","float","","h","","","Accumulated idling time during engine lifetime. Definition of idling is not standardized.","Vehicles may calculate accumulated idle time for an engine. It might be based on engine speed (rpm) below a certain limit or any other mechanism.","","6caa3d7e669c5cc6aecd4a6be9a302d4"
"Vehicle.Powertrain.CombustionEngine.ECT","sensor","int16","","celsius","","","Engine coolant temperature.","","","fff3cad23cac5b189a1a075c3ab562cd"
"Vehicle.Powertrain.CombustionEngine.EOT","sensor","int16","","celsius","","","Engine oil temperature.","","","eae6f5eae04f530e80f6b024f95b767d"
"Vehicle.Powertrain.CombustionEngine.MAP","sensor","uint16","","kPa","","","Manifold absolute pressure possibly boosted using forced induction.","","","28d4354fa34056369acb857aa7cc76ac"
"Vehicle.Powertrain.CombustionEngine.MAF","sensor","uint16","","g/s","","","Grams of air drawn into engine per second.","","","1e222ed8c48b5dcea60e43ac8af7d6df"
"Vehicle.Powertrain.CombustionEngine.TPS","sensor","uint8","","percent","","100","Current throttle position.","","","1ddb77860de558b4876ffb399a442bda"
"Vehicle.Powertrain.CombustionEngine.EOP","sensor","uint16","","kPa","","","Engine oil pressure.","","","76c7039dc7975ec3a003f0f4a04895ec"
"Vehicle.Powertrain.CombustionEngine.Power","sensor","uint16","","kW","","","Current engine power output. Shall be reported as 0 during engine breaking.","","","20e8b5d2187758c2848ed421248c180d"
"Vehicle.Powertrain.CombustionEngine.Torque","sensor","uint16","","Nm","","","Current engine torque. Shall be reported as 0 during engine breaking.","During engine breaking the engine delivers a negative torque to the transmission. This negative torque shall be ignored, instead 0 shall be reported.","","b81f504bdb57513299ae6e9402ec7bcd"
"Vehicle.Powertrain.CombustionEngine.DieselExhaustFluid","branch","","","","","","Signals related to Diesel Exhaust Fluid (DEF). DEF is called AUS32 in ISO 22241.","In retail and marketing other names are typically used for the fluid.","","81d8eec46d9357a3b1064bfb5d070fa2"
"Vehicle.Powertrain.CombustionEngine.DieselExhaustFluid.Capacity","attribute","float","","l","","","Capacity in liters of the Diesel Exhaust Fluid Tank.","","","863c16ad452b5cf5b7a37f58bdda14c3"
"Vehicle.Powertrain.CombustionEngine.DieselExhaustFluid.Level","sensor","uint8","","percent","0","100","Level of the Diesel Exhaust Fluid tank as percent of capacity. 0 = empty. 100 = full.","","","f5b0269b58ff5a8e8399f6d96963a3b6"
"Vehicle.Powertrain.CombustionEngine.DieselExhaustFluid.Range","sensor","uint32","","m","","","Remaining range in meters of the Diesel Exhaust Fluid present in the vehicle.","","","124afbee975c5a67b316413f7b805eac"
"Vehicle.Powertrain.CombustionEngine.DieselExhaustFluid.IsLevelLow","sensor","boolean","","","","","Indicates if the Diesel Exhaust Fluid level is low. True if level is low. Definition of low is vehicle dependent.","","","811af3fe4f7f5270b4119bb66cff8759"
"Vehicle.Powertrain.CombustionEngine.DieselParticulateFilter","branch","","","","","","Diesel Particulate Filter signals.","","","eeddd99ad6475b1a92b9ec7bd7cefdbd"
"Vehicle.Powertrain.CombustionEngine.DieselParticulateFilter.InletTemperature","sensor","float","","celsius","","","Inlet temperature of Diesel Particulate Filter.","","","70e90d202d3054bd967e67dce95c8ef2"
"Vehicle.Powertrain.CombustionEngine.DieselParticulateFilter.OutletTemperature","sensor","float","","celsius","","","Outlet temperature of Diesel Particulate Filter.","","","e2b7f9d97bec5c0d94ade71a5e2f6518"
"Vehicle.Powertrain.CombustionEngine.DieselParticulateFilter.DeltaPressure","sensor","float","","Pa","","","Delta Pressure of Diesel Particulate Filter.","","","a6f476775c60531b93acb835e0bc6ab6"
"Vehicle.Powertrain.Transmission","branch","","","","","","Transmission-specific data, stopping at the drive shafts.","","","6b71e284b63a527caa6296a66e9fdd0c"
"Vehicle.Powertrain.Transmission.Type","attribute","string","","","","","Transmission type.","","['UNKNOWN', 'SEQUENTIAL', 'H', 'AUTOMATIC', 'DSG', 'CVT']","f83b9e5464d85a0288fcb32c164d3c63"
"Vehicle.Powertrain.Transmission.GearCount","attribute","int8","","","","","Number of forward gears in the transmission. -1 = CVT.","","","84293f40d3ed57f1a08992d97b1a9ccd"
"Vehicle.Powertrain.Transmission.DriveType","attribute","string","","","","","Drive type.","","['UNKNOWN', 'FORWARD_WHEEL_DRIVE', 'REAR_WHEEL_DRIVE', 'ALL_WHEEL_DRIVE']","0e480b76fb2d5f8bb08fb586f90ee6ae"
"Vehicle.Powertrain.Transmission.TravelledDistance","sensor","float","","km","","","Odometer reading, total distance travelled during the lifetime of the transmission.","","","b9dd66f20c7f5b12a046766b94dc20c1"
"Vehicle.Powertrain.Transmission.CurrentGear","sensor","int8","","","","","The current gear. 0=Neutral, 1/2/..=Forward, -1/-2/..=Reverse.","","","cd0ba1d772565e16bff46cbd5c9361da"
"Vehicle.Powertrain.Transmission.SelectedGear","actuator","int8","","","","","The selected gear. 0=Neutral, 1/2/..=Forward, -1/-2/..=Reverse, 126=Park, 127=Drive.","","","490fd99b9d5f562eb180c19e8cef5e12"
"Vehicle.Powertrain.Transmission.IsParkLockEngaged","actuator","boolean","","","","","Is the transmission park lock engaged or not. False = Disengaged. True = Engaged.","","","1578da3f925e54ac9df978abd0195408"
"Vehicle.Powertrain.Transmission.IsLowRangeEngaged","actuator","boolean","","","","","Is gearbox in low range mode or not. False = Normal/High range engaged. True = Low range engaged.","The possibility to switch between low and high gear range is typically only available in heavy vehicles and off-road vehicles.","","63ba7593926b574ebbe4f90b28557e78"
"Vehicle.Powertrain.Transmission.IsElectricalPowertrainEngaged","actuator","boolean","","","","","Is electrical powertrain mechanically connected/engaged to the drivetrain or not. False = Disconnected/Disengaged. True = Connected/Engaged.","In some hybrid solutions it is possible to disconnect/disengage the electrical powertrain mechanically to avoid induced voltage reaching a too high level when driving at high speed.","","6660cf1d88d15430b1e7c8908a7b769b"
"Vehicle.Powertrain.Transmission.PerformanceMode","actuator","string","","","","","Current gearbox performance mode.","","['NORMAL', 'SPORT', 'ECONOMY', 'SNOW', 'RAIN']","6b5cfd85cb595e559503ccf993be04dd"
"Vehicle.Powertrain.Transmission.GearChangeMode","actuator","string","","","","","Is the gearbox in automatic or manual (paddle) mode.","","['MANUAL', 'AUTOMATIC']","ff3c69378c2f598286e51f7dac13adaa"
"Vehicle.Powertrain.Transmission.Temperature","sensor","int16","","celsius","","","The current gearbox temperature.","","","4f5e48c3511b5e1abff11aa7ec62dd18"
"Vehicle.Powertrain.Transmission.ClutchEngagement","actuator","float","","percent","0","100","Clutch engagement. 0% = Clutch fully disengaged. 100% = Clutch fully engaged.","","","2890bd4a2b6a56c19b62d7bd95151fc6"
"Vehicle.Powertrain.Transmission.ClutchWear","sensor","uint8","","percent","","100","Clutch wear as a percent. 0 = no wear. 100 = worn.","","","c113405ad165571a9d53ae4cf55dc929"
"Vehicle.Powertrain.Transmission.DiffLockFrontEngagement","actuator","float","","percent","0","100","Front Diff Lock engagement. 0% = Diff lock fully disengaged. 100% = Diff lock fully engaged.","","","5149afe37fbd5c24847b5820821abc02"
"Vehicle.Powertrain.Transmission.DiffLockRearEngagement","actuator","float","","percent","0","100","Rear Diff Lock engagement. 0% = Diff lock fully disengaged. 100% = Diff lock fully engaged.","","","197c939bd1405613b80179becec6db83"
"Vehicle.Powertrain.Transmission.TorqueDistribution","actuator","float","","percent","-100","100","Torque distribution between front and rear axle in percent. -100% = Full torque to front axle, 0% = 50:50 Front/Rear, 100% = Full torque to rear axle.","","","d3bcaaf973d3512287817049db9bd677"
"Vehicle.Powertrain.ElectricMotor","branch","","","","","","Electric Motor specific data.","","","1ade64f6b0d05f6c9340e7a667555ae2"
"Vehicle.Powertrain.ElectricMotor.EngineCode","attribute","string","","","","","Engine code designation, as specified by vehicle manufacturer.","","","e4102a5142ed501495e5edafd3d36dfb"
"Vehicle.Powertrain.ElectricMotor.MaxPower","attribute","uint16","","kW","","","Peak power, in kilowatts, that motor(s) can generate.","","","825ec7911ee958abb199b9f7903df3a6"
"Vehicle.Powertrain.ElectricMotor.MaxTorque","attribute","uint16","","Nm","","","Peak power, in newton meter, that the motor(s) can generate.","","","cf31eabcde5151f589e9b0f7a6090512"
"Vehicle.Powertrain.ElectricMotor.MaxRegenPower","attribute","uint16","","kW","","","Peak regen/brake power, in kilowatts, that motor(s) can generate.","","","7f2cb2650ba95485b7156ffe76e27366"
"Vehicle.Powertrain.ElectricMotor.MaxRegenTorque","attribute","uint16","","Nm","","","Peak regen/brake torque, in newton meter, that the motor(s) can generate.","","","0e5190c2517b55aa80fcb9bf698e02d6"
"Vehicle.Powertrain.ElectricMotor.Speed","sensor","int32","","rpm","","","Motor rotational speed measured as rotations per minute. Negative values indicate reverse driving mode.","","","ca961aa6ca435095a89f9d404a5d849d"
"Vehicle.Powertrain.ElectricMotor.Temperature","sensor","int16","","celsius","","","Motor temperature.","","","1b7c15e5341052139995bfacea2c05b2"
"Vehicle.Powertrain.ElectricMotor.CoolantTemperature","sensor","int16","","celsius","","","Motor coolant temperature (if applicable).","","","3c5ea8c7700956518f2ae7a2a0f34f1c"
"Vehicle.Powertrain.ElectricMotor.Power","sensor","int16","","kW","","","Current motor power output. Negative values indicate regen mode.","","","46b86286fba059349a733fed9a0e3232"
"Vehicle.Powertrain.ElectricMotor.Torque","sensor","int16","","Nm","","","Current motor torque. Negative values indicate regen mode.","","","aceffe768ddf5b828fff0975349d2433"
"Vehicle.Powertrain.TractionBattery","branch","","","","","","Battery Management data.","","","1a2515d1a8875d86873431194ade2b50"
"Vehicle.Powertrain.TractionBattery.Id","attribute","string","","","","","Battery Identification Number as assigned by OEM.","This could be serial number, part number plus serial number, UUID, or any other identifier that the OEM want to use to uniquely identify the battery individual.","","c8279874660c55b38c7ac64a8503a519"
"Vehicle.Powertrain.TractionBattery.ProductionDate","attribute","string","","","","","Production date of battery in ISO8601 format, e.g. YYYY-MM-DD.","","","c9509ba4d76c56d9a8c1d6e2280ae02f"
"Vehicle.Powertrain.TractionBattery.IsPowerConnected","sensor","boolean","","","","","Indicating if the power (positive terminator) of the traction battery is connected to the powertrain.","It might be possible to disconnect the traction battery used by an electric powertrain. This is achieved by connectors, typically one for plus and one for minus.","","e30ef59fc2a25f6b8990248e19a5cdf9"
"Vehicle.Powertrain.TractionBattery.IsGroundConnected","sensor","boolean","","","","","Indicating if the ground (negative terminator) of the traction battery is connected to the powertrain.","It might be possible to disconnect the traction battery used by an electric powertrain. This is achieved by connectors, typically one for plus and one for minus.","","dd38d1c7ee12530aac03f49ad01d5c04"
"Vehicle.Powertrain.TractionBattery.Temperature","branch","","","","","","Temperature Information for the battery pack.","","","1cfbcf8c152959dcb3eb2c54fc42e623"
"Vehicle.Powertrain.TractionBattery.Temperature.Average","sensor","float","","celsius","","","Current average temperature of the battery cells.","","","ae28e502137f56b9a037ed9b32bc04e1"
"Vehicle.Powertrain.TractionBattery.Temperature.Min","sensor","float","","celsius","","","Current minimum temperature of the battery cells, i.e. temperature of the coldest cell.","","","4e3f630fefa7558fa302b175bc7eb5c7"
"Vehicle.Powertrain.TractionBattery.Temperature.Max","sensor","float","","celsius","","","Current maximum temperature of the battery cells, i.e. temperature of the hottest cell.","","","07aa7c8ba1d355398d7469c2b337152a"
"Vehicle.Powertrain.TractionBattery.GrossCapacity","attribute","uint16","","kWh","","","Gross capacity of the battery.","","","5460530488435dc8bfa1298bf47a993d"
"Vehicle.Powertrain.TractionBattery.NetCapacity","sensor","uint16","","kWh","","","Total net capacity of the battery considering aging.","","","9c68fe42cb81501eb6349f8c9b0b6899"
